matchup_id,season,week,team_id,opponent_id,team_score,opponent_score,is_playoff,is_championship,matchup_type
102,2019,11,7,12,55.0,66.68,False,False,NONE
103,2019,11,9,4,97.26,115.27,False,False,NONE
104,2019,11,4,9,115.27,97.26,False,False,NONE
105,2019,11,25,1,90.93,100.06,False,False,NONE
106,2019,11,1,25,100.06,90.93,False,False,NONE
107,2019,11,11,16,57.86,49.6,False,False,NONE
108,2019,11,16,11,49.6,57.86,False,False,NONE
109,2019,11,17,26,99.79,60.4,False,False,NONE
110,2019,11,26,17,60.4,99.79,False,False,NONE
111,2019,12,4,25,123.6,86.79,False,False,NONE
112,2019,12,25,4,86.79,123.6,False,False,NONE
113,2019,12,16,12,63.43,67.95,False,False,NONE
114,2019,12,12,16,67.95,63.43,False,False,NONE
115,2019,12,7,17,44.73,128.29,False,False,NONE
116,2019,12,17,7,128.29,44.73,False,False,NONE
117,2019,12,11,9,32.7,101.48,False,False,NONE
118,2019,12,9,11,101.48,32.7,False,False,NONE
119,2019,12,1,26,99.31,39.2,False,False,NONE
120,2019,12,26,1,39.2,99.31,False,False,NONE
121,2019,13,16,17,101.28,92.1,False,False,NONE
122,2019,13,17,16,92.1,101.28,False,False,NONE
123,2019,13,4,11,71.29,144.86,False,False,NONE
124,2019,13,11,4,144.86,71.29,False,False,NONE
125,2019,13,26,25,77.5,47.81,False,False,NONE
126,2019,13,25,26,47.81,77.5,False,False,NONE
127,2019,13,12,9,63.38,98.72,False,False,NONE
128,2019,13,9,12,98.72,63.38,False,False,NONE
129,2019,13,1,7,105.81,78.62,False,False,NONE
130,2019,13,7,1,78.62,105.81,False,False,NONE
131,2019,14,26,9,92.2,89.74,False,False,NONE
132,2019,14,9,26,89.74,92.2,False,False,NONE
133,2019,14,1,12,94.54,122.54,False,False,NONE
134,2019,14,12,1,122.54,94.54,False,False,NONE
135,2019,14,7,4,103.17,76.61,False,False,NONE
136,2019,14,4,7,76.61,103.17,False,False,NONE
137,2019,14,25,16,94.28,74.64,False,False,NONE
138,2019,14,16,25,74.64,94.28,False,False,NONE
139,2019,14,17,11,133.01,73.83,False,False,NONE
140,2019,14,11,17,73.83,133.01,False,False,NONE
141,2019,15,17,9,143.77,91.14,True,False,WINNERS_BRACKET
142,2019,15,9,17,91.14,143.77,True,False,WINNERS_BRACKET
143,2019,15,12,1,95.44,126.73,True,False,WINNERS_BRACKET
144,2019,15,1,12,126.73,95.44,True,False,WINNERS_BRACKET
145,2019,15,4,25,117.25,112.04,True,False,LOSERS_CONSOLATION_LADDER
146,2019,15,25,4,112.04,117.25,True,False,LOSERS_CONSOLATION_LADDER
147,2019,15,7,11,84.6,36.91,True,False,LOSERS_CONSOLATION_LADDER
148,2019,15,11,7,36.91,84.6,True,False,LOSERS_CONSOLATION_LADDER
149,2019,15,16,26,86.1,86.8,True,False,LOSERS_CONSOLATION_LADDER
150,2019,15,26,16,86.8,86.1,True,False,LOSERS_CONSOLATION_LADDER
151,2019,16,17,1,91.68,97.3,True,False,WINNERS_BRACKET
152,2019,16,1,17,97.3,91.68,True,False,WINNERS_BRACKET
153,2019,16,12,9,75.32,89.16,True,False,WINNERS_CONSOLATION_LADDER
154,2019,16,9,12,89.16,75.32,True,False,WINNERS_CONSOLATION_LADDER
155,2019,16,4,7,103.6,83.71,True,False,LOSERS_CONSOLATION_LADDER
156,2019,16,7,4,83.71,103.6,True,False,LOSERS_CONSOLATION_LADDER
157,2019,16,25,26,99.89,74.5,True,False,LOSERS_CONSOLATION_LADDER
158,2019,16,26,25,74.5,99.89,True,False,LOSERS_CONSOLATION_LADDER
159,2019,16,11,16,66.76,80.36,True,False,LOSERS_CONSOLATION_LADDER
160,2019,16,16,11,80.36,66.76,True,False,LOSERS_CONSOLATION_LADDER
161,2020,1,9,26,125.07,126.96,False,False,NONE
162,2020,1,26,9,126.96,125.07,False,False,NONE
163,2020,1,11,12,116.53,109.98,False,False,NONE
164,2020,1,12,11,109.98,116.53,False,False,NONE
165,2020,1,17,1,88.19,104.05,False,False,NONE
166,2020,1,1,17,104.05,88.19,False,False,NONE
167,2020,1,16,4,95.54,68.95,False,False,NONE
168,2020,1,4,16,68.95,95.54,False,False,NONE
169,2020,1,25,7,86.15,119.91,False,False,NONE
170,2020,1,7,25,119.91,86.15,False,False,NONE
171,2020,2,12,1,128.76,151.55,False,False,NONE
172,2020,2,1,12,151.55,128.76,False,False,NONE
173,2020,2,4,9,103.38,90.89,False,False,NONE
174,2020,2,9,4,90.89,103.38,False,False,NONE
175,2020,2,7,26,125.61,95.14,False,False,NONE
